Date,Close,Close_1,Close_2,Close_3,Close_4,Close_5,Close_6,Close_7,Close_8,Close_9,Close_10,Close_11,Close_12,Close_13,Close_14,Close_15,Close_16,Close_17,Close_18,Close_19,Close_20,Close_21,Close_22,Close_23,Close_24,Close_25,Close_26,Close_27,Close_28,Close_29,Close_30
2017-01-13,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981,961.237976,973.497009,975.921021,933.197998,907.609985,896.182983,898.822021,921.984009,864.539978,834.281006,800.875977,792.713989,790.530029,790.828979,784.906982,778.088013,781.481018
2017-01-14,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981,961.237976,973.497009,975.921021,933.197998,907.609985,896.182983,898.822021,921.984009,864.539978,834.281006,800.875977,792.713989,790.530029,790.828979,784.906982,778.088013
2017-01-15,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981,961.237976,973.497009,975.921021,933.197998,907.609985,896.182983,898.822021,921.984009,864.539978,834.281006,800.875977,792.713989,790.530029,790.828979,784.906982
2017-01-16,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981,961.237976,973.497009,975.921021,933.197998,907.609985,896.182983,898.822021,921.984009,864.539978,834.281006,800.875977,792.713989,790.530029,790.828979
2017-01-17,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981,961.237976,973.497009,975.921021,933.197998,907.609985,896.182983,898.822021,921.984009,864.539978,834.281006,800.875977,792.713989,790.530029
2017-01-18,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981,961.237976,973.497009,975.921021,933.197998,907.609985,896.182983,898.822021,921.984009,864.539978,834.281006,800.875977,792.713989
2017-01-19,899.072998,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981,961.237976,973.497009,975.921021,933.197998,907.609985,896.182983,898.822021,921.984009,864.539978,834.281006,800.875977
2017-01-20,895.026001,899.072998,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981,961.237976,973.497009,975.921021,933.197998,907.609985,896.182983,898.822021,921.984009,864.539978,834.281006
2017-01-21,921.789001,895.026001,899.072998,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981,961.237976,973.497009,975.921021,933.197998,907.609985,896.182983,898.822021,921.984009,864.539978
2017-01-22,924.672974,921.789001,895.026001,899.072998,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981,961.237976,973.497009,975.921021,933.197998,907.609985,896.182983,898.822021,921.984009
2017-01-23,921.012024,924.672974,921.789001,895.026001,899.072998,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981,961.237976,973.497009,975.921021,933.197998,907.609985,896.182983,898.822021
2017-01-24,892.687012,921.012024,924.672974,921.789001,895.026001,899.072998,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981,961.237976,973.497009,975.921021,933.197998,907.609985,896.182983
2017-01-25,901.541992,892.687012,921.012024,924.672974,921.789001,895.026001,899.072998,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981,961.237976,973.497009,975.921021,933.197998,907.609985
2017-01-26,917.585999,901.541992,892.687012,921.012024,924.672974,921.789001,895.026001,899.072998,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981,961.237976,973.497009,975.921021,933.197998
2017-01-27,919.75,917.585999,901.541992,892.687012,921.012024,924.672974,921.789001,895.026001,899.072998,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981,961.237976,973.497009,975.921021
2017-01-28,921.590027,919.75,917.585999,901.541992,892.687012,921.012024,924.672974,921.789001,895.026001,899.072998,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981,961.237976,973.497009
2017-01-29,919.495972,921.590027,919.75,917.585999,901.541992,892.687012,921.012024,924.672974,921.789001,895.026001,899.072998,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981,961.237976
2017-01-30,920.382019,919.495972,921.590027,919.75,917.585999,901.541992,892.687012,921.012024,924.672974,921.789001,895.026001,899.072998,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012,963.742981
2017-01-31,970.403015,920.382019,919.495972,921.590027,919.75,917.585999,901.541992,892.687012,921.012024,924.672974,921.789001,895.026001,899.072998,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75,998.325012
2017-02-01,989.02301,970.403015,920.382019,919.495972,921.590027,919.75,917.585999,901.541992,892.687012,921.012024,924.672974,921.789001,895.026001,899.072998,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966,1021.75
2017-02-02,1011.799988,989.02301,970.403015,920.382019,919.495972,921.590027,919.75,917.585999,901.541992,892.687012,921.012024,924.672974,921.789001,895.026001,899.072998,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998,1043.839966
2017-02-03,1029.910034,1011.799988,989.02301,970.403015,920.382019,919.495972,921.590027,919.75,917.585999,901.541992,892.687012,921.012024,924.672974,921.789001,895.026001,899.072998,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005,1154.72998
2017-02-04,1042.900024,1029.910034,1011.799988,989.02301,970.403015,920.382019,919.495972,921.590027,919.75,917.585999,901.541992,892.687012,921.012024,924.672974,921.789001,895.026001,899.072998,886.617981,907.937988,831.533997,821.797974,818.411987,823.984009,804.833984,777.757019,907.679016,902.828003,911.198975,908.585022,902.200989,1013.380005
